semantic_group_id,num_markets,num_dates,num_event_slugs,event_slugs,actors,sample_questions,needs_review
kamala-nominated-before-democratic-convention,1,1,1,kamala-nominated-before-democratic-convention,,Will Kamala be Nominee before Convention?,True
trumps-latest-tiktok-30m-views:trump,1,1,1,trumps-latest-tiktok-30m-views-by-friday,trump,Trump’s latest TikTok >30m views by Friday?,True
trump-x-kamala-debate:trump,1,1,1,trump-x-kamala-debate-before-election,trump,Will Trump and Harris debate before election?,True
biden-resigns-from-presidency:biden,1,1,1,biden-resigns-from-presidency-before-election,biden,Will Biden resign before the election?,True
will-joe-biden-make-appearance:biden,1,1,1,will-joe-biden-make-appearance-by-wednesday,biden,Will Joe Biden make an appearance by Wednesday?,True
will-kamala-say-unburdened,1,1,1,will-kamala-say-unburdened-by-friday,,"Will Kamala say ""unburdened"" by Friday?",True
vp-debate,1,1,1,vp-debate-before-election,,VP debate before election?,True
will-kamala-go-on-hot-ones,1,1,1,will-kamala-go-on-hot-ones,,Will Kamala Harris go on Hot Ones by August 31?,True
will-kamala-say-coconut,1,1,1,will-kamala-say-coconut-before-august,,"Will Kamala say ""coconut"" before August?",True
kamala-president,1,1,1,kamala-president-by-friday,,Kamala president by Friday?,True
will-trump-tweet-again:trump,1,1,1,will-trump-tweet-again-before-election,trump,Will Trump post on X again before election?,True
will-kamala-say-brat,1,1,1,will-kamala-say-brat-before-august,,"Will Kamala say ""Brat"" before August?",True
kamala-announce-vp-pick,1,1,1,kamala-announce-vp-pick-by-aug-7,,Will Kamala announce VP pick by Aug 7?,True
will-kamala-announce-vp-pick,1,1,1,will-kamala-announce-vp-pick-before-dnc,,Will Kamala announce VP pick before DNC?,True
jd-usha-vance-divorce,1,1,1,jd-usha-vance-divorce-before-election,,JD & Usha Vance divorce before election?,True
fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,1,1,1,fed-interest-rates-september-2024,,Fed decreases interest rates by 50+ bps after September 2024 meeting?,True
fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,1,1,1,fed-interest-rates-september-2024,,Fed decreases interest rates by 25 bps after September 2024 meeting?,True
fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,1,1,1,fed-interest-rates-september-2024,,Fed increases interest rates by 25+ bps after September 2024 meeting?,True
will-obama-endorse-kamala-for-dem-nominee,1,1,1,will-obama-endorse-kamala-for-dem-nominee-by-tomorrow,,Will Obama endorse Kamala by tomorrow? ,True
will-jd-vance-say-couch,1,1,1,will-jd-vance-say-couch-before-august,,"Will JD Vance say ""Couch"" before August?",True
france-train-attack-claimed,1,1,1,france-train-attack-claimed-by-terror-org,,France train attack claimed by terror org?,True
kamala-campaign-accepts-crypto-donations,1,1,1,kamala-campaign-accepts-crypto-donations-before-september,,Kamala campaign accepts crypto donations before September?,True
edmundo-gonzlez-arrested,1,1,1,edmundo-gonzlez-arrested-before-october,,Edmundo González arrested before October?,True
another-gta-6-trailer-released,1,1,1,another-gta-6-trailer-released-by-october-4,,Another GTA 6 trailer released by October 4?,True
will-us-sell-silk-road-btc,1,1,1,will-us-sell-silk-road-btc-before-election,,Will US sell Silk Road BTC before election?,True
ben-gvir-out-as-israel-minister-of-national-security:israel,1,1,1,ben-gvir-out-as-israel-minister-of-national-security-by-august-31,israel,Ben Gvir out as Israel Minister of National Security by August 31? ,True
maria-corina-machado-arrested,1,1,1,maria-corina-machado-arrested-before-october,,María Corina Machado arrested before October?,True
will-beirut-airport-close,1,1,1,will-beirut-airport-close-by-august-5,,Will Beirut airport close by August 5?,True
venezuela-intervention,1,1,1,venezuela-intervention-by-august-31,,Venezuela intervention by August 31?,True
us-military-action-against-hezbollah-in-lebanon,1,1,1,us-military-action-against-hezbollah-in-lebanon-by-monday,,US military action against Hezbollah in Lebanon by Monday?,True
iran-military-action-against-israel:iran,1,1,1,iran-military-action-against-israel-by-friday,iran,Iran military response by Friday?,True
lucie-castets-appointed-as-french-pm,1,1,1,lucie-castets-appointed-as-french-pm-by-august-31,,Lucie Castets appointed as French PM by August 31?,True
musk-x-maduro-fight-scheduled,1,1,1,musk-x-maduro-fight-scheduled-by-aug-9,,Musk x Maduro fight scheduled by Aug 9?,True
will-bidens-538-approval-reach:biden,1,1,1,will-bidens-538-approval-reach-40-by-august-9,biden,Will Biden's 538 approval reach 40% by August 9?,True
fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,1,1,1,fed-interest-rates-november-2024,,Fed increases interest rates by 25+ bps after November 2024 meeting?,True
fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,1,1,1,fed-interest-rates-november-2024,,Fed decreases interest rates by 75+ bps after November 2024 meeting?,True
fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,1,1,1,fed-interest-rates-november-2024,,Fed decreases interest rates by 50 bps after November 2024 meeting?,True
fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,1,1,1,fed-interest-rates-november-2024,,Fed decreases interest rates by 25 bps after November 2024 meeting?,True
starmer-out-as-uk-pm,1,1,1,starmer-out-as-uk-pm-before-october,,Keir Starmer out as UK PM before October?,True
fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,1,1,1,fed-interest-rates-december-2024,,Fed decreases interest rates by 75+ bps after December 2024 meeting?,True
fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,1,1,1,fed-interest-rates-december-2024,,Fed decreases interest rates by 50 bps after December 2024 meeting?,True
fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,1,1,1,fed-interest-rates-december-2024,,Fed decreases interest rates by 25 bps after December 2024 meeting?,True
fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,1,1,1,fed-interest-rates-december-2024,,Fed increases interest rates by 25+ bps after December 2024 meeting?,True
trump-family-launches-coin:trump,1,1,1,trump-family-launches-coin-by-friday,trump,Trump Family launches coin by Friday?,True
gop-wins-popular-vote:gop,1,1,1,popular-vote-margin-of-victory-in-presidential-election,gop,GOP wins popular vote by 7% or more?,True
will-israel-enter-lebanon:israel,1,1,1,will-israel-enter-lebanon-before-November,israel,Will Israel invade Lebanon before November?,True
no-trump-vs-harris-debates:trump,1,1,1,number-of-debates-between-trump-and-harris,trump,No Trump vs. Harris debates before election?,True
3-trump-vs-harris-debates:trump,1,1,1,number-of-debates-between-trump-and-harris,trump,3 Trump vs. Harris debates before election?,True
1-trump-vs-harris-debate:trump,1,1,1,number-of-debates-between-trump-and-harris,trump,1 Trump vs. Harris debate before election?,True
2-trump-vs-harris-debates:trump,1,1,1,number-of-debates-between-trump-and-harris,trump,2 Trump vs. Harris debates before election?,True
4-trump-vs-harris-debates:trump,1,1,1,number-of-debates-between-trump-and-harris,trump,4+ Trump vs. Harris debates before election?,True
will-ukraine-take-the-kursk-nuclear-plant:ukraine,1,1,1,will-ukraine-take-the-kursk-nuclear-plant-by-aug-31,ukraine,Will Ukraine take the Kursk Nuclear Plant by Aug 31?,True
iran-action:iran,1,1,1,iran-action-by-friday,iran,Iran military response by Friday?,True
swan-bitcoin-insolvent,1,1,1,swan-bitcoin-insolvent-by-august-31,,Swan Bitcoin insolvent by August 31?,True
august-temperature-increase-by-less-than-1pt15c,1,1,1,august-2024-temperature-increase-c,,August temperature increase by less than 1.15°C?,True
august-temperature-increase-by-between-1pt15-1pt19c,1,1,1,august-2024-temperature-increase-c,,August temperature increase by between 1.15-1.19°C?,True
august-temperature-increase-by-between-1pt20-1pt24c,1,1,1,august-2024-temperature-increase-c,,August temperature increase by between 1.20-1.24°C?,True
august-temperature-increase-by-between-1pt25-1pt29c,1,1,1,august-2024-temperature-increase-c,,August temperature increase by between 1.25-1.29°C?,True
will-russia-capture-toretsk:russia,1,1,1,will-russia-capture-toretsk-before-october,russia,Will Russia capture Toretsk before October?,True
urkaine-hits-moscow:ukraine,1,1,1,urkaine-hits-moscow-by-august-31,ukraine,Ukraine hits Moscow by August 31?,True
1-vance-vs-walz-debate,1,1,1,of-debates-between-vance-and-walz,,1 Vance vs. Walz debate before election?,True
no-vance-vs-walz-debates,1,1,1,of-debates-between-vance-and-walz,,No Vance vs. Walz debates before election?,True
2-or-more-vance-vs-walz-debates,1,1,1,of-debates-between-vance-and-walz,,2 or more Vance vs. Walz debates before election?,True
monkeypox-lab-leak-confirmed,1,1,1,monkeypox-lab-leak-confirmed-by-us-in-2024,,Monkeypox lab leak confirmed by US in 2024?,True
will-rfk-drop-out,1,1,1,will-rfk-drop-out-before-november,,Will RFK drop out before November?,True
rfk-jr-endorses-trump:trump,1,1,1,rfk-jr-endorses-trump-before-november,trump,RFK Jr. endorses Trump before November?,True
will-kamala-lead-by-by-0-0pt4-august,1,1,1,trump-vs-harris-rcp-polling-margin-on-aug-23,,Will Kamala lead by by 0-0.4 August 23?,True
will-kamala-lead-by-by-0pt5-0pt9-august,1,1,1,trump-vs-harris-rcp-polling-margin-on-aug-23,,Will Kamala lead by by 0.5-0.9 August 23?,True
will-kamala-lead-by-by-2-august,1,1,1,trump-vs-harris-rcp-polling-margin-on-aug-23,,Will Kamala lead by by 2+ August 23?,True
will-sonic-launch,1,1,1,will-sonic-launch-before-2025,,Will Sonic launch before 2025?,True
x-banned-in-eu,1,1,1,x-banned-in-eu-before-october,,X banned in EU before October?,True
bengals-extend-jamar-chase-before-regular-season,1,1,1,bengals-extend-jamar-chase-before-regular-season,,Bengals extend Ja'Marr Chase before regular season?,True
will-trump-go-on-rogan:trump,1,1,1,will-trump-go-on-rogan-before-election,trump,Will Trump go on Joe Rogan before election?,True
will-speed-and-kai-beat-hardcore-minecraft,1,1,1,will-speed-and-kai-beat-hardcore-minecraft-by-friday,,Speed/Kai beat hardcore Minecraft by Friday?,True
will-speed-kai-have-50-59-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have 50-59 deaths by end of Minecraft challenge?,True
will-speed-kai-have-60-69-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have 60-69 deaths by end of Minecraft challenge?,True
will-speed-kai-have-70-79-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have 70-79 deaths by end of Minecraft challenge?,True
will-speed-kai-have-80-89-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have 80-89 deaths by end of Minecraft challenge?,True
will-speed-kai-have-100-or-more-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have 100 or more deaths by end of Minecraft challenge?,True
will-speed-kai-have-50-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have <50 deaths by end of Minecraft challenge?,True
will-speed-kai-have-90-99-deaths-by-end-of-minecraft-challenge,1,1,1,speedkai-minecraft-deaths-by-end-of-challenge,,Will Speed/Kai have 90-99 deaths by end of Minecraft challenge?,True
speedkai-beat-hardcore-minecraft,1,1,1,speedkai-beat-hardcore-minecraft-by-monday,,Speed/Kai beat hardcore Minecraft by Monday?,True
will-speedkai-give-up-on-challenge,1,1,1,will-speedkai-give-up-on-challenge-before-saturday,,Will Speed/Kai give up on challenge before Saturday?,True
another-trump-x-musk-space:trump,1,1,1,another-trump-x-musk-space-before-october,trump,Another Trump x Musk space before October?,True
will-kamala-lead-by-by-0-0pt9-august,1,1,1,trump-vs-harris-rcp-polling-margin-on-aug-30,,Will Kamala lead by 0-0.9 August 30?,True
will-kamala-lead-by-by-2-2pt4-august,1,1,1,trump-vs-harris-rcp-polling-margin-on-aug-30,,Will Kamala lead by 2-2.4 August 30?,True
will-kamala-lead-by-2pt5-august,1,1,1,trump-vs-harris-rcp-polling-margin-on-aug-30,,Will Kamala lead by 2.5+ August 30?,True
will-speed-stream-with-ronaldo,1,1,1,will-speed-stream-with-ronaldo-before-october,,Will Speed stream with Ronaldo before October?,True
telegram-banned-by-eu-member-state,1,1,1,telegram-banned-by-eu-member-state-before-october,,Telegram banned by EU country before October?,True
will-belarus-invade-ukraine:ukraine,1,1,1,will-belarus-invade-ukraine-before-october,ukraine,Will Belarus invade Ukraine before October?,True
belarus-x-ukraine-military-clash:ukraine,1,1,1,belarus-x-ukraine-military-clash-by-sep-30,ukraine,Belarus x Ukraine military clash by Sep 30?,True
yahya-sinwar-still-hamas-leader-through-november,1,1,1,yahya-sinwar-still-hamas-leader-through-november,,Yahya Sinwar still Hamas leader by October 31?,True
will-france-ban-telegram,1,1,1,will-france-ban-telegram-before-october,,Will France ban Telegram before October?,True
pavel-durov-leaves-france,1,1,1,pavel-durov-leaves-france-by-sep-15,,Pavel Durov flees France by Sep 15?,True
pavel-durov-released,1,1,1,pavel-durov-released-before-october,,Pavel Durov released before October?,True
robin-diangelo-out-as-washington-professor,1,1,1,robin-diangelo-out-as-washington-professor-by-sept-6,,Robin DiAngelo out as Washington professor by Sept 6?,True
will-threadguy-interview-trump:trump,1,1,1,will-threadguy-interview-trump-before-october,trump,Will threadguy interview Trump before October?,True
kamala-harris-positive-favorability,1,1,1,kamala-harris-positive-favorability-by-next-friday,,Kamala positive favorability by Friday?,True
will-kamala-harris-give-a-live-interview,1,1,1,will-kamala-harris-give-a-live-interview-by-sept-9,,Will Kamala Harris give a live interview before debate?,True
kamala-harris-solo-interview,1,1,1,kamala-harris-solo-interview-before-debate,,Kamala Harris solo interview before debate?,True
will-lana-del-ray-dump-her-boyfriend,1,1,1,will-lana-del-ray-dump-her-boyfriend-before-october,,Will Lana Del Rey dump her boyfriend before October?,True
trump-flips-kamala-on-nate-silvers-bulletin:trump,1,1,1,trump-flips-kamala-on-nate-silvers-bulletin-by-sept-6,trump,Kamala flips Trump on Silver's Bulletin by Sept 6?,True
national-guard-deployed-to-aurora,1,1,1,national-guard-deployed-to-aurora-by-next-friday,,National Guard deployed to Aurora by next Friday?,True
kamala-mentions-macdonalds-again,1,1,1,kamala-mentions-macdonalds-again-before-debate,,Kamala mentions McDonald’s again before debate?,True
espn-back-on-directv-by-us-open-mens-final,1,1,1,espn-back-on-directv-by-us-open-mens-final,,ESPN back on DirecTV before US Open final?,True
save-act-becomes-law,1,1,1,save-act-becomes-law-before-election,,SAVE act becomes law before election?,True
will-playboi-carti-release-new-album,1,1,1,will-playboi-carti-release-new-album-by-friday,,Will Playboi Carti release new album by Friday?,True
september-temperature-increase-by-between-1pt17-1pt22c,1,1,1,september-2024-temperature-increase-c,,September temperature increase by between 1.17-1.22°C?,True
september-temperature-increase-by-between-1pt23-1pt28c,1,1,1,september-2024-temperature-increase-c,,September temperature increase by between 1.23-1.28°C?,True
september-temperature-increase-by-between-1pt29-1pt34c,1,1,1,september-2024-temperature-increase-c,,September temperature increase by between 1.29-1.34°C?,True
september-temperature-increase-by-between-1pt35-1pt40c,1,1,1,september-2024-temperature-increase-c,,September temperature increase by between 1.35-1.40°C?,True
september-temperature-increase-by-less-than-1pt17c,1,1,1,september-2024-temperature-increase-c,,September temperature increase by less than 1.17°C?,True
espn-back-on-directv-before-falcons-vs-eagles,1,1,1,espn-back-on-directv-before-falcons-vs-eagles,,ESPN back on DirecTV before Falcons vs. Eagles?,True
will-the-debate-finnish-by-1030-pm,1,1,1,will-the-debate-finnish-by-1030-pm,,Will the Debate finish by 10:30 PM?,True
kamala-flips-trump-on-silvers-bulletin-in-september:trump,1,1,1,kamala-flips-trump-on-silvers-bulletin-in-september,trump,Kamala flips Trump on Silver Bulletin by Sept 30?,True
will-sinwar-leave-gaza,1,1,1,will-sinwar-leave-gaza-by-october-31,,Will Sinwar leave Gaza by October 31?,True
abc-whistleblower-report-released,1,1,1,abc-whistleblower-report-released-by-sunday,,ABC Whistleblower report released by Sunday?,True
will-tua-tagovailoa-retire,1,1,1,will-tua-tagovailoa-retire-by-september-30,,Will Tua Tagovailoa retire by September 30?,True
will-trump-post-about-laura-loomer:trump,1,1,1,will-trump-post-about-laura-loomer-by-sunday-1,trump,Will Trump post about Laura Loomer by Sunday?,True
will-nikki-haley-endorse-kamala-harris,1,1,1,will-nikki-haley-endorse-kamala-harris-by-tomorrow,,Will Nikki Haley endorse Kamala Harris by tomorrow? ,True
will-diddy-flee-the-us:us,1,1,1,will-diddy-flee-the-us-before-october,us,Will Diddy flee the US before October?,True
30-year-mortgage-drops-below,1,1,1,30-year-mortgage-drops-below-5-before-election,,30-year mortgage rate below 5% before election?,True
will-trump-say-skibidi-before-the-election:trump,1,1,1,will-trump-say-skibidi-before-the-election,trump,"Will Trump say ""skibidi"" before the election?",True
new-diddy-charges,1,1,1,new-diddy-charges-before-november,,New Diddy charges before November?,True
longshoremens-east-coast-port-strike,1,1,1,longshoremens-east-coast-port-strike,,Longshoremen east coast strike by Oct 1?,True
mark-robinson-divorce-before-the-election,1,1,1,mark-robinson-divorce-before-the-election,,Mark Robinson divorce before the Election?,True
will-gta-vi-be-delayed,1,1,1,will-gta-vi-be-delayed,,GTA VI delay announced before November?,True
diddy-sex-tape-released,1,1,1,diddy-sex-tape-released-before-november,,Diddy sex tape released before November?  ,True
us-military-strike-on-lebanon,1,1,1,us-military-strike-on-lebanon-before-november,,U.S. military strike on Lebanon before November?,True
will-russia-capture-vuhledar:russia,1,1,1,will-russia-capture-vuhledar-before-october,russia,Will Russia capture Vuhledar before October? ,True
us-recession-announced,1,1,1,us-recession-announced-by-nber-before-june-2025,,U.S. recession before May 2025?,True
will-openai-become-a-for-profit-business,1,1,1,will-openai-become-a-for-profit-business-before-april-2025,,OpenAI becomes a for-profit before April 2025?,True
will-kamala-harris-call-on-eric-adams-to-resign,1,1,1,will-kamala-harris-call-on-eric-adams-to-resign-by-next-friday,,Kamala Harris calls on Eric Adams to resign by Friday?,True
israeli-forces-enters-lebanon,1,1,1,israeli-forces-enters-lebanon-before-november,,Israeli forces enter Lebanon before November?,True
will-israel-troops-enter-beirut:israel,1,1,1,will-israel-troops-enter-beirut-by-october-31,israel,Will Israeli troops enter Beirut by October 31? ,True
trump-flips-kamala-on-silver-bulletin-before-the-election:trump,1,1,1,trump-flips-kamala-on-silver-bulletin-before-the-election,trump,Trump flips Kamala on Silver Bulletin before the election?,True
will-biden-visit-asheville:biden,1,1,1,will-biden-visit-asheville-by-friday,biden,Will Biden visit Asheville by Friday?,True
will-israeli-troops-enter-bint-jbeil,1,1,1,will-israeli-troops-enter-bint-jbeil-by-october-15,,Will Israeli troops enter Bint Jbeil by October 15?,True
another-iran-strike-on-israel:iran,1,1,1,another-iran-strike-on-israel-by-friday,iran,Another Iran strike on Israel by Friday?,True
will-devante-adams-be-traded-before-the-deadline,1,1,1,will-devante-adams-be-traded-before-the-deadline,,Will Davante Adams be traded before the deadline?,True
jd-vance-positive-favorability-before-the-election,1,1,1,jd-vance-positive-favorability-before-the-election,,JD Vance positive favorability before the election?,True
jd-vance-favorability-40-on-election,1,1,1,jd-vance-favorability-40-on-election,,JD Vance favorability >40% by Friday Oct 11?,True
will-ruusia-capture-chasiv-yar:russia,1,1,1,will-ruusia-capture-chasiv-yar-before-december,russia,Will Russia capture Chasiv Yar before December?,True
will-russia-capture-kurakhove:russia,1,1,1,will-russia-capture-kurakhove-before-december,russia,Will Russia capture Kurakhove before December?,True
will-head-of-fema-be-firedresign,1,1,1,will-head-of-fema-be-firedresign-before-november,,Will head of FEMA be fired/resign before November?,True
no-israel-strike-on-iran:iran,1,1,1,israel-military-response-against-iran-when,iran,No Israel strike on Iran by Sunday?,True
will-elon-do-a-podcast-with-hawk-tuah-girl,1,1,1,will-elon-do-a-podcast-with-hawk-tuah-girl-before-election,,Will Elon do a podcast with Hawk Tuah Girl before election?,True
category-5-hurricane-hits-us,1,1,1,category-5-hurricane-hits-us-before-election,,Category 5 hurricane hits US before election?,True
kamala-photographed-with-a-gun-before-the-election,1,1,1,kamala-photographed-with-a-gun-before-the-election,,Kamala photographed with a gun before the election?,True
will-harris-reach-60-before-trump-flips-her-on-silver-bulletin:trump,1,1,1,will-harris-reach-60-before-trump-flips-her-on-silver-bulletin,trump,Will Harris reach 60% before Trump flips her on Silver Bulletin?,True
no-israel-strike-iran:iran,1,1,1,israel-military-response-against-iran-when-oct-14-20,iran,No Israel strike Iran by Sunday Oct 20?,True
will-kamala-go-on-joe-rogan,1,1,1,will-kamala-go-on-joe-rogan-before-election,,Will Kamala go on Joe Rogan before election?,True
will-trump-release-medical-records-before-the-election:trump,1,1,1,will-trump-release-medical-records-before-the-election,trump,Will Trump release medical records before the election? ,True
will-trump-sell-shares-of-djt-before-the-election:trump,1,1,1,will-trump-sell-shares-of-djt-before-the-election,trump,Will Trump sell shares of DJT before the election?,True
will-kamala-do-another-fox-news-interview-before-the-election,1,1,1,will-kamala-do-another-fox-news-interview-before-the-election,,Will Kamala do another Fox News interview before election?,True
no-israel-strike-iran-on:iran,1,1,1,israel-military-response-against-iran-when-oct-20-27,iran,No Israel strike Iran on by Sunday Oct 27?,True
will-the-associated-press-declare-a-winner-before-3am-on-november,1,1,1,will-the-associated-press-declare-a-winner-before-3am-on-november-6,,Associated Press declares winner before 3am on Nov 6?,True
will-cooper-kupp-get-traded-before-the-deadline,1,1,1,will-cooper-kupp-get-traded-before-the-deadline,,Will Cooper Kupp get traded before the deadline?,True
ap-doesnt-call-the-election,1,1,1,what-day-will-the-ap-call-the-election,,AP doesn't call the election by November 20?,True
trump-grope-video-relaesed-before-the-election:trump,1,1,1,trump-grope-video-relaesed-before-the-election,trump,Trump grope video released before the election?,True
will-wisonsin-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Wisonsin be the last state to be called by the AP?,True
will-nevada-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Nevada be the last state to be called by the AP?,True
will-pennsylvania-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Pennsylvania be the last state to be called by the AP?,True
will-michigan-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Michigan be the last state to be called by the AP?,True
will-new-hampshire-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will New Hampshire be the last state to be called by the AP?,True
will-north-carolina-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will North Carolina be the last state to be called by the AP?,True
will-minnesota-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Minnesota be the last state to be called by the AP?,True
will-georgia-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Georgia be the last state to be called by the AP?,True
will-arizona-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Arizona be the last state to be called by the AP?,True
will-virginia-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Virginia be the last state to be called by the AP?,True
will-florida-be-the-last-state-to-be-called-by-the-ap-sycg,1,1,1,last-state-to-be-called-in-presidential-election,,Will Florida be the last state to be called by the AP?,True
will-new-mexico-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will New Mexico be the last state to be called by the AP?,True
will-alaska-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Alaska be the last state to be called by the AP?,True
will-another-state-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will another state be the last state to be called by the AP?,True
will-maine-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Maine be the last state to be called by the AP?,True
will-colorado-be-the-last-state-to-be-called,1,1,1,last-state-to-be-called-in-presidential-election,,Will Colorado be the last state to be called by the AP?,True
another-israeli-military-action-against-iran-before-the-election:iran,1,1,1,another-israeli-military-action-against-iran-before-the-election,iran,Another Israeli military action against Iran before the election?,True
us-presidential-election-decided-by-less-than-10k-votes,1,1,1,us-presidential-election-decided-by-less-than-10k-votes,,U.S. Presidential election decided by ≤10k votes?,True
will-the-ap-call-pennsylvania-by-800-am-nov,1,1,1,will-the-ap-call-pennsylvania-by-800-am-nov-6,,AP calls Pennsylvania by 8:00 AM Nov 6? ,True
will-the-ap-call-georgia-by-800-am-nov,1,1,1,will-the-ap-call-georgia-by-800-am-nov-6,,AP calls Georgia by 8:00 AM Nov 6? ,True
will-the-ap-call-michigan-by-800-am-nov,1,1,1,will-the-ap-call-michigan-by-800-am-nov-6,,AP calls Michigan by 8:00 AM Nov 6? ,True
young-thug-released,1,1,1,young-thug-released-by-friday,,Young Thug released by Friday?,True
will-trump-claim-victory-before-the-ap-calls-the-election:trump,1,1,1,will-trump-claim-victory-before-the-ap-calls-the-election,trump,Trump claims victory before AP calls the election?,True
us-presidential-election-decided-by-less-than-100k-votes,1,1,1,us-presidential-election-decided-by-less-than-100k-votes,,U.S. Presidential election decided by ≤100k votes?,True
elon-musk-citizenship-revoked,1,1,1,elon-musk-citizenship-revoked-before-inauguration,,Elon Musk citizenship revoked before inauguration?,True
will-trump-claim-victory:trump,1,1,1,will-trump-claim-victory-by-midnight,trump,Will Trump claim victory by midnight? ,True
will-either-candidate-concede,1,1,1,will-either-candidate-concede-by-friday,,Will either candidate concede by Friday?,True
trump-in-jail:trump,1,1,1,trump-in-jail-before-inauguration,trump,Trump in jail before inauguration? ,True
trump-ends-ukraine-war:ukraine,1,1,1,trump-ends-ukraine-war-before-inauguration,ukraine,Trump ends Ukraine war before inauguration?,True
hawk-tuah-token-dropped,1,1,1,hawk-tuah-token-dropped-by-thanksgiving,,Hawk Tuah token by Thanksgiving?,True
fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,1,1,1,fed-interest-rates-january-2025,,Fed decreases interest rates by 75+ bps after January 2025 meeting?,True
fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,1,1,1,fed-interest-rates-january-2025,,Fed decreases interest rates by 50 bps after January 2025 meeting?,True
fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,1,1,1,fed-interest-rates-january-2025,,Fed decreases interest rates by 25 bps after January 2025 meeting?,True
fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,1,1,1,fed-interest-rates-january-2025,,Fed increases interest rates by 25+ bps after January 2025 meeting?,True
will-sotomayor-retire-from-scotus,1,1,1,will-sotomayor-retire-from-scotus-before-inauguration,,Sotomayor steps down from Supreme Court before inauguration?,True
gop-wins-popular-vote-by-2pt25-or-more:gop,1,1,1,popular-vote-margin-of-victory-0pt25-ranges,gop,GOP wins popular vote by 2.25% or more?,True
gop-wins-popular-vote-by-2pt0-2pt25-or-more:gop,1,1,1,popular-vote-margin-of-victory-0pt25-ranges,gop,GOP wins popular vote by 2.0-2.25%?,True
gop-wins-popular-vote-by-1pt75-2pt0:gop,1,1,1,popular-vote-margin-of-victory-0pt25-ranges,gop,GOP wins popular vote by 1.75-2.0%?,True
gop-wins-popular-vote-by-1pt5-1pt75:gop,1,1,1,popular-vote-margin-of-victory-0pt25-ranges,gop,GOP wins popular vote by 1.5-1.75%?,True
gop-wins-popular-vote-by-less-than-1pt5:gop,1,1,1,popular-vote-margin-of-victory-0pt25-ranges,gop,GOP wins popular vote by less than 1.5%?,True
hamas-out-of-qatar-before-trump-in-office:trump,1,1,1,hamas-out-of-qatar-before-trump-in-office,trump,Hamas leadership out of Qatar before Trump in office?,True
israel-action-against-iraq:israel,1,1,1,israel-action-against-iraq-before-december,israel,Israel military action against Iraq before December?,True
x-and-truth-social-merger-announced,1,1,1,x-and-truth-social-merger-announced-before-august,,X and Truth Social merger announced before August?,True
elon-musk-out-as-head-of-doge,1,1,1,elon-musk-out-as-head-of-doge-before-july,,Elon Musk out as Head of DOGE before July?,True
will-trump-go-on-snl:trump,1,1,1,will-trump-go-on-snl-before-inauguration,trump,Will Trump go on SNL before inauguration?,True
